ID,Name,Address,City,State,ZIP ,X,Y,Collection_Date,To_North_AM,To_East_AM,To_South_AM,To_West_AM,To_North_PM,To_East_PM,To_South_PM,To_West_PM,To_Northeast_AM,To_Southeast_AM,To_Southwest_AM,To_Northwest_AM,To_Northeast_PM,To_Southeast_PM,To_Southwest_PM,To_Northwest_PM,Total_AM_Count,Total_PM_Count,Total_Day_Count
1,Market St & 11th St,Market St & 11th St,San Francisco,CA,94102,-122.419,37.7756,NA,-1,-1,NA,-1,-1,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
2,Howard St & 11th St,Howard St & 11th St,San Francisco,CA,94103,-122.416,37.77312,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
3,8th St & Townsend St,8th St & Townsend St,San Francisco,CA,94103,-122.404,37.77004,10/23/2018,169,576,355,296,60,212,211,748,NA,NA,NA,NA,NA,NA,NA,NA,1396,1231,2627
4,5th St & Townsend St,5th St & Townsend St,San Francisco,CA,94107,-122.397,37.77535,NA,NA,-1,-1,-1,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
5,2nd St & Townsend,2nd St & Townsend St,San Francisco,CA,94107,-122.391,37.78062,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,The Embarcadero & Townsend St,Embarcadero & Townsend St,San Francisco,CA,94107,-122.388,37.7818,10/23/2018,556,292,760,0,393,268,833,0,NA,NA,NA,NA,NA,NA,NA,NA,1608,1494,3102
7,The Embarcadero & Market St,Ferry Building,San Francisco,CA,94105,-122.394,37.79532,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-1,NA,-1,NA,-1,NA,-1,-1,-1
8,Broadway & The Embarcadero,Broadway & The Embarcadero,San Francisco,CA,94111,-122.398,37.79918,NA,-1,-1,-1,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
9,Broadway & Columbus Ave,Broadway & Columbus Ave,San Francisco,CA,94133,-122.407,37.79789,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
10,SFMTA - Sutter Stockton Garage,444 Stockton St,San Francisco,CA,94108,-122.407,37.79007,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
